Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
109,TPE,0.132313151,51:36.0,51:37.3,0 days 00:00:01.230586,,KNN,,EMD,0.6,WAVE,,minkowski,3,,,,,0.8,,,,,,,,0.71,,PRUNED,0
110,TPE,0.000875887,51:37.3,51:53.4,0 days 00:00:16.106280,0.368368558,SVM,,EMD,0.55,COV,,,,,,,,0.8,,,rbf,,,,,0.53,,PRUNED,0
111,TPE,0.72225,51:53.4,51:54.4,0 days 00:00:01.028058,,KNN,,EMD,0.5,COV,,minkowski,1,,,,,0.75,,,,,,61552,0.35,0.52,0.062953024,COMPLETE,0
112,TPE,0.72225,51:54.4,51:55.5,0 days 00:00:01.058744,,KNN,,EMD,0.5,COV,,minkowski,1,,,,,0.75,,,,,,61552,0.32,0.57,0.063509254,COMPLETE,0
113,TPE,0.573910947,51:55.5,51:56.3,0 days 00:00:00.829294,,KNN,,EMD,0.5,COV,,minkowski,2,,,,,0.75,,,,,,,,0.54,,PRUNED,0
114,TPE,0.032321498,51:56.3,52:26.7,0 days 00:00:30.329064,,KNN,,EMD,0.65,FRAC,28,minkowski,1,,,,,0.75,,,,,,,,29.92,,PRUNED,0
115,TPE,0.72225,52:26.7,52:27.7,0 days 00:00:01.033172,,KNN,,EMD,0.5,COV,,minkowski,1,,,,,0.75,,,,,,61588.79,0.36,0.51,0.066241055,COMPLETE,0
116,TPE,0.171724661,52:27.7,52:34.5,0 days 00:00:06.722796,,MLP,,NONE,,COV,,,,0.001053399,,4,,0.75,,,,,,,,0.52,,PRUNED,0
117,TPE,0.554268605,52:34.5,52:35.3,0 days 00:00:00.837816,,KNN,,EMD,0.5,COV,,minkowski,3,,,,,0.75,,,,,,,,0.53,,PRUNED,0
118,TPE,0.167167469,52:35.3,53:26.1,0 days 00:00:50.736460,,LR,,EMD,0.45,COV,,,,,0.359694486,,,0.8,,,,,,,,50.17,,PRUNED,0
119,TPE,0.581401409,53:26.1,53:26.9,0 days 00:00:00.821452,,KNN,,EMD,0.45,COV,,minkowski,2,,,,,0.75,,,,,,,,0.5,,PRUNED,0
